t,cpu.0,cpu.1,cpu.2,cpu.3,gpu.0,gpu.1,gpu.2,gpu.3,ram.0,ram.1,net.0,net.1,disk.0,disk.1,disk.2,disk.3
198.044,7.8,2.5,28.2,40.8,4.0,45.0,52.0,604.0,53.0,31.9,0.0,0.0,0.0,980.0,283.0,864.0
199.045,6.6,3.2,20.3,40.8,11.0,45.0,52.0,604.0,53.0,31.9,0.2,0.1,0.1,980.0,283.0,864.0
200.047,7.5,3.2,18.8,40.8,4.0,45.0,52.0,604.0,53.0,31.9,0.0,0.0,0.0,980.0,283.0,864.0
201.041,8.7,3.2,25.4,41.0,1.0,45.0,52.0,604.0,53.0,31.9,0.0,0.0,0.1,980.0,283.0,864.0
202.036,9.1,3.1,28.2,41.0,1.0,45.0,52.0,603.0,52.9,31.9,0.0,0.0,0.1,981.0,283.0,862.0
203.041,8.5,1.3,22.9,41.0,5.0,45.0,52.0,603.0,53.0,31.9,0.1,0.2,0.1,981.0,283.0,862.0
204.039,13.2,3.2,37.0,41.0,2.0,45.0,52.0,602.0,53.0,31.9,4.3,8.5,1.9,981.0,283.0,862.0
205.034,24.4,1.6,45.1,41.8,5.0,45.0,52.0,602.0,53.1,31.9,0.1,0.0,0.1,981.0,283.0,862.0
206.051,43.6,3.2,75.4,41.8,14.0,45.0,52.0,601.0,53.3,31.9,0.2,0.2,2.1,980.0,282.0,863.0
207.038,45.3,3.2,73.0,41.8,9.0,45.0,52.0,601.0,53.3,31.9,1.3,0.6,2.3,980.0,282.0,863.0
208.027,15.7,3.2,32.8,41.8,3.0,45.0,52.0,602.0,53.4,31.9,0.4,0.1,0.6,980.0,282.0,863.0
209.029,26.5,3.2,47.8,44.3,4.0,45.0,53.0,601.0,53.9,31.9,0.6,0.2,8.0,980.0,282.0,863.0
210.04,31.8,3.2,59.4,44.3,41.0,45.0,54.0,600.0,53.9,31.9,0.1,0.1,7.9,1037.0,337.0,898.0
211.029,15.5,3.2,31.8,44.3,5.0,45.0,53.0,600.0,54.0,31.9,0.9,0.2,0.5,1037.0,337.0,898.0
212.028,28.8,3.2,49.2,44.3,6.0,45.0,53.0,600.0,54.0,31.9,0.1,0.1,1.9,1037.0,337.0,898.0
213.043,12.2,3.2,23.4,44.0,6.0,45.0,53.0,601.0,53.9,31.9,0.0,0.1,0.3,1037.0,337.0,898.0
214.025,20.1,3.2,34.9,44.0,4.0,45.0,53.0,601.0,53.9,31.9,0.0,0.1,1.2,1059.0,358.0,918.0
215.031,13.4,3.2,29.2,44.0,4.0,45.0,53.0,601.0,53.9,31.9,0.0,0.0,0.8,1059.0,358.0,918.0
216.037,19.5,3.2,46.2,44.0,5.0,45.0,53.0,602.0,53.9,31.9,0.0,0.0,0.4,1059.0,358.0,918.0
217.032,12.1,3.2,26.6,42.5,4.0,45.0,53.0,602.0,53.9,31.9,0.3,0.1,0.7,1059.0,358.0,918.0
218.046,17.5,1.2,34.8,42.5,7.0,45.0,53.0,602.0,54.0,31.9,0.0,0.0,1.1,1026.0,338.0,902.0
219.026,20.3,3.2,43.8,42.5,10.0,45.0,53.0,601.0,53.9,31.9,0.2,0.3,0.5,1026.0,338.0,902.0
220.043,21.0,3.1,66.2,42.5,5.0,45.0,52.0,602.0,53.8,31.9,0.0,0.0,0.0,1026.0,338.0,902.0
221.031,8.0,2.2,20.3,42.8,3.0,45.0,52.0,603.0,53.9,31.9,0.0,0.0,1.2,1026.0,338.0,902.0
222.038,6.6,3.2,17.4,42.8,5.0,45.0,52.0,602.0,53.9,31.9,0.2,0.1,0.9,1034.0,339.0,904.0
223.034,5.6,3.2,17.5,42.8,7.0,45.0,52.0,603.0,53.9,31.9,0.0,0.0,0.2,1034.0,339.0,904.0
224.041,12.2,2.5,25.4,42.8,7.0,45.0,52.0,604.0,53.9,31.9,0.1,0.1,0.4,1034.0,339.0,904.0
225.038,14.6,1.2,28.1,42.0,4.0,45.0,51.0,603.0,53.9,31.9,4.3,8.5,1.0,1034.0,339.0,904.0
226.042,12.6,3.2,29.7,42.0,3.0,45.0,52.0,603.0,53.8,31.9,0.1,0.0,0.1,1016.0,318.0,888.0
227.034,6.8,3.2,18.5,42.0,13.0,45.0,52.0,604.0,53.9,31.9,0.1,0.1,0.4,1016.0,318.0,888.0
228.051,6.2,1.2,12.5,42.0,6.0,45.0,52.0,604.0,53.9,31.9,0.0,0.0,0.0,1016.0,318.0,888.0
229.05,11.9,3.2,33.3,42.0,8.0,45.0,52.0,604.0,53.8,31.9,2.2,4.1,0.0,1016.0,318.0,888.0
230.033,9.1,3.2,23.4,42.0,10.0,45.0,52.0,605.0,53.9,31.9,0.3,0.4,0.0,1002.0,311.0,877.0
231.032,6.8,3.2,21.4,42.0,7.0,45.0,52.0,605.0,53.9,31.9,0.1,0.1,0.2,1002.0,311.0,877.0
232.028,13.6,3.2,30.4,42.0,3.0,45.0,52.0,605.0,53.8,31.9,0.2,0.2,0.1,1002.0,311.0,877.0
233.039,10.2,3.2,21.5,42.0,6.0,45.0,52.0,605.0,53.9,31.9,0.1,0.2,0.1,1002.0,311.0,877.0
234.035,12.0,3.2,27.5,42.0,5.0,45.0,52.0,604.0,53.9,31.9,0.3,0.4,0.0,1001.0,311.0,876.0
235.029,18.0,2.3,31.9,42.0,4.0,45.0,52.0,604.0,53.8,31.9,0.2,0.3,24.7,1001.0,311.0,876.0
236.026,14.8,3.2,35.9,42.0,6.0,45.0,52.0,604.0,53.8,31.9,6.5,12.4,5.5,1001.0,311.0,876.0
237.027,7.2,3.2,23.2,42.3,6.0,45.0,51.0,604.0,53.8,31.9,0.0,0.0,0.0,1001.0,311.0,876.0
238.052,8.5,1.6,17.4,42.3,11.0,45.0,51.0,604.0,53.9,31.9,0.1,0.1,0.6,1001.0,310.0,874.0
239.052,13.6,1.2,34.9,42.3,11.0,45.0,52.0,605.0,53.8,31.9,2.3,4.4,1.3,1001.0,310.0,874.0
240.028,7.7,3.2,23.5,42.3,10.0,45.0,52.0,605.0,53.8,31.9,0.1,0.1,0.0,1001.0,310.0,874.0
241.042,7.3,3.2,20.0,41.8,7.0,45.0,51.0,605.0,53.7,31.9,0.1,0.1,0.0,1001.0,310.0,874.0
242.042,11.2,2.5,25.0,41.8,14.0,45.0,52.0,605.0,53.8,31.9,0.2,0.3,0.4,1002.0,310.0,874.0
243.035,12.4,3.2,33.8,41.8,5.0,45.0,52.0,605.0,53.8,31.9,0.1,0.1,88.6,1002.0,310.0,874.0
244.028,13.0,3.2,33.3,41.8,5.0,45.0,51.0,605.0,54.3,31.9,1.3,2.4,232.5,1002.0,310.0,874.0
245.034,12.2,3.2,29.2,42.0,9.0,45.0,51.0,605.0,54.3,31.9,3.8,7.4,0.0,1002.0,310.0,874.0
246.024,7.1,3.2,15.9,42.0,7.0,45.0,52.0,605.0,54.3,31.9,0.1,0.1,0.0,1000.0,310.0,875.0
247.039,8.5,3.2,22.4,42.0,5.0,45.0,52.0,604.0,54.3,31.9,0.1,0.1,0.4,1000.0,310.0,875.0
248.038,10.0,1.2,21.2,42.0,8.0,45.0,52.0,604.0,54.4,31.9,0.1,0.1,0.2,1000.0,310.0,875.0
249.056,12.3,3.1,26.2,42.0,6.0,45.0,52.0,603.0,54.3,31.9,0.1,0.1,0.1,1000.0,310.0,875.0
250.044,9.5,3.2,28.6,42.0,5.0,45.0,51.0,603.0,54.3,31.9,0.1,0.1,0.1,1000.0,311.0,875.0
251.034,10.4,3.2,29.7,42.0,7.0,45.0,52.0,604.0,54.3,31.9,0.1,0.1,0.0,1000.0,311.0,875.0
252.043,13.5,1.6,25.0,42.0,5.0,45.0,52.0,604.0,54.3,31.9,0.2,0.2,0.6,1000.0,311.0,875.0
253.029,13.6,3.2,27.7,42.0,4.0,45.0,52.0,604.0,54.4,31.9,10.2,11.6,0.4,1000.0,311.0,875.0
254.027,8.5,3.2,17.5,42.0,3.0,45.0,52.0,604.0,54.4,31.9,0.2,0.3,0.6,1003.0,311.0,875.0
255.039,7.9,3.2,21.5,42.0,1.0,45.0,52.0,604.0,54.4,31.9,0.1,0.1,0.2,1003.0,311.0,875.0
256.032,7.6,3.2,18.2,42.0,2.0,45.0,52.0,605.0,54.4,31.9,0.1,0.1,0.0,1003.0,311.0,875.0
257.033,10.8,3.2,26.2,42.0,8.0,45.0,51.0,605.0,54.3,31.9,0.1,0.1,0.1,1003.0,311.0,875.0
258.039,9.5,3.2,21.5,42.0,8.0,45.0,52.0,605.0,54.3,31.9,0.5,0.8,0.1,1001.0,311.0,877.0
259.053,9.1,2.8,20.6,42.0,6.0,45.0,52.0,605.0,54.4,31.9,0.3,0.5,0.0,1001.0,311.0,877.0
260.036,11.4,3.2,24.6,42.0,5.0,45.0,52.0,605.0,54.4,31.9,2.1,3.9,0.8,1001.0,311.0,877.0
261.042,7.6,3.2,15.6,42.0,7.0,45.0,52.0,604.0,54.4,31.9,0.2,0.2,0.1,1001.0,311.0,877.0
262.047,7.7,3.2,16.2,42.0,6.0,45.0,52.0,603.0,54.4,31.9,0.1,0.1,0.0,1003.0,310.0,876.0
263.042,7.0,1.2,21.7,42.0,7.0,45.0,52.0,605.0,54.4,31.9,0.0,0.0,0.0,1003.0,310.0,876.0
264.058,13.4,2.9,34.3,42.0,5.0,45.0,52.0,605.0,54.4,31.9,0.0,0.0,0.0,1003.0,310.0,876.0
265.031,9.8,2.9,21.9,42.0,5.0,45.0,52.0,605.0,54.4,31.9,0.3,0.5,0.1,1003.0,310.0,876.0
266.042,9.5,2.9,22.9,42.0,6.0,45.0,51.0,604.0,54.4,31.9,0.1,0.1,0.2,1003.0,310.0,876.0
267.047,7.7,2.1,16.7,42.0,4.0,45.0,52.0,603.0,54.3,31.9,0.0,0.0,2.8,1003.0,310.0,876.0
268.035,7.4,3.2,15.6,42.0,4.0,45.0,52.0,603.0,54.2,31.9,0.0,0.0,0.1,1003.0,310.0,876.0
269.039,14.1,1.2,28.1,41.5,10.0,45.0,52.0,604.0,54.2,31.9,4.5,8.5,1.5,1003.0,310.0,876.0
270.038,8.7,3.2,20.3,41.5,6.0,45.0,52.0,604.0,54.3,31.9,0.1,0.1,0.1,1001.0,310.0,873.0
271.045,6.8,2.5,16.2,41.5,8.0,45.0,52.0,604.0,54.2,31.9,0.1,0.1,0.3,1001.0,310.0,873.0
272.037,8.7,3.2,18.8,41.5,2.0,45.0,52.0,603.0,54.2,31.9,0.0,0.0,0.1,1001.0,310.0,873.0
273.034,7.5,1.2,18.8,41.8,5.0,45.0,52.0,605.0,54.2,31.9,0.0,0.1,0.0,1001.0,310.0,873.0
274.044,8.9,3.2,21.5,41.8,3.0,45.0,52.0,604.0,54.2,31.9,0.1,0.1,0.0,1001.0,311.0,874.0
275.038,8.5,3.2,18.5,41.8,3.0,45.0,51.0,603.0,54.2,31.9,0.2,0.3,0.0,1001.0,311.0,874.0
276.035,10.0,2.8,26.1,41.8,14.0,45.0,52.0,604.0,54.2,31.9,0.1,0.2,0.0,1001.0,311.0,874.0
277.049,11.4,2.6,27.7,42.0,3.0,45.0,52.0,605.0,54.2,31.9,0.1,0.0,0.2,1001.0,311.0,874.0
278.04,13.0,3.2,40.6,42.0,6.0,45.0,52.0,604.0,54.2,31.9,4.4,8.7,0.2,1002.0,311.0,875.0
279.026,9.7,2.3,17.5,42.0,8.0,45.0,52.0,604.0,54.3,31.9,0.0,0.0,0.0,1002.0,311.0,875.0
280.032,5.6,3.2,12.5,42.0,7.0,45.0,52.0,605.0,54.3,31.9,0.1,0.0,0.0,1002.0,311.0,875.0
281.042,7.5,3.2,18.6,42.0,1.0,45.0,52.0,604.0,54.2,31.9,0.0,0.0,0.0,1002.0,311.0,875.0
282.031,7.8,3.2,13.4,42.0,5.0,45.0,52.0,603.0,54.2,31.9,0.1,0.1,0.1,1002.0,311.0,875.0
283.043,12.0,3.2,26.5,42.0,4.0,45.0,52.0,602.0,54.2,31.9,0.1,0.2,0.1,1002.0,311.0,875.0
284.044,14.7,1.2,27.7,42.0,4.0,45.0,52.0,602.0,54.2,31.9,2.4,4.6,1.7,1002.0,311.0,875.0
285.051,10.4,3.2,21.5,42.3,10.0,45.0,52.0,600.0,54.2,31.9,0.0,0.0,0.3,1002.0,311.0,875.0
286.04,7.7,3.2,17.5,42.3,8.0,45.0,52.0,601.0,54.3,31.9,0.1,0.0,0.0,1001.0,311.0,876.0
287.039,7.0,3.2,16.9,42.3,3.0,45.0,52.0,600.0,54.2,31.9,0.1,0.1,0.2,1001.0,311.0,876.0
288.027,7.6,3.1,15.9,42.3,5.0,45.0,52.0,600.0,54.2,31.9,0.0,0.0,0.0,1001.0,311.0,876.0
289.049,13.5,1.2,25.8,42.0,7.0,45.0,52.0,599.0,54.3,31.9,0.2,0.2,0.2,1001.0,311.0,876.0
290.039,17.8,3.2,33.3,42.0,2.0,45.0,52.0,601.0,54.4,31.9,0.2,0.4,0.6,1000.0,311.0,875.0
291.043,12.1,3.2,27.9,42.0,10.0,45.0,52.0,600.0,54.3,31.9,0.3,0.3,0.4,1000.0,311.0,875.0
292.046,9.8,3.2,23.9,42.0,8.0,45.0,52.0,601.0,54.4,31.9,0.2,0.2,0.2,1000.0,311.0,875.0
293.037,12.1,3.2,30.0,42.0,5.0,45.0,52.0,601.0,54.4,31.9,0.8,0.8,0.0,1000.0,311.0,875.0
294.031,15.3,3.2,26.8,42.0,9.0,45.0,52.0,600.0,54.4,31.9,0.6,1.0,0.5,1002.0,311.0,872.0
295.051,12.6,3.2,31.4,42.0,1.0,45.0,52.0,601.0,54.4,31.9,4.1,7.9,0.1,1002.0,311.0,872.0
296.04,10.0,3.2,23.4,42.0,4.0,45.0,52.0,602.0,54.4,31.9,0.2,0.1,0.0,1002.0,311.0,872.0
297.031,7.8,3.2,13.6,42.0,2.0,45.0,52.0,601.0,54.4,31.9,0.1,0.1,0.2,1002.0,311.0,872.0
298.043,8.7,2.8,18.2,42.0,12.0,45.0,52.0,601.0,54.3,31.9,0.3,0.5,0.0,1001.0,311.0,878.0
299.04,8.3,2.8,15.6,42.0,5.0,45.0,52.0,601.0,54.3,31.9,0.2,0.4,0.5,1001.0,311.0,878.0
300.029,11.9,2.5,27.0,42.0,4.0,45.0,52.0,601.0,54.3,31.9,0.1,0.1,0.1,1001.0,311.0,878.0
301.045,10.0,3.2,18.8,42.5,5.0,44.0,52.0,602.0,54.4,31.9,2.2,4.2,0.2,1001.0,311.0,878.0
302.032,6.7,3.2,19.0,42.5,3.0,45.0,52.0,603.0,54.3,31.9,0.0,0.0,0.6,1002.0,311.0,874.0
303.026,4.8,2.8,9.4,42.5,5.0,45.0,52.0,602.0,54.4,31.9,0.0,0.0,0.0,1002.0,311.0,874.0
304.042,7.8,3.2,18.5,42.5,0.0,45.0,51.0,603.0,54.4,31.9,0.1,0.0,0.1,1002.0,311.0,874.0
305.029,10.2,3.2,23.5,41.5,3.0,45.0,52.0,603.0,54.3,31.9,0.4,0.3,0.2,1002.0,311.0,874.0
306.034,13.4,3.2,23.5,41.5,2.0,45.0,52.0,603.0,54.3,31.9,0.2,0.2,0.1,1001.0,311.0,874.0
307.025,11.3,2.8,25.4,41.5,3.0,45.0,52.0,603.0,54.3,31.9,0.0,0.0,0.1,1001.0,311.0,874.0
308.042,9.1,1.2,17.4,41.5,5.0,45.0,52.0,604.0,54.3,31.9,0.0,0.0,0.1,1001.0,311.0,874.0
309.038,9.6,3.1,18.8,42.0,8.0,45.0,52.0,603.0,54.3,31.9,0.2,0.4,0.0,1001.0,311.0,874.0
310.032,8.3,3.2,23.4,42.0,5.0,45.0,52.0,604.0,54.3,31.9,0.0,0.0,0.0,1003.0,311.0,875.0
311.037,15.8,3.2,29.2,42.0,3.0,45.0,52.0,604.0,54.3,31.9,2.2,4.1,0.1,1003.0,311.0,875.0
312.03,11.4,3.2,20.3,42.0,3.0,45.0,52.0,604.0,54.3,31.9,0.2,0.2,0.2,1003.0,311.0,875.0
313.03,5.3,3.2,17.6,42.0,6.0,44.0,52.0,604.0,54.3,31.9,0.1,0.1,0.0,1003.0,311.0,875.0
314.025,9.4,3.2,20.3,42.0,4.0,45.0,52.0,604.0,54.3,31.9,0.1,0.1,0.5,1001.0,311.0,876.0
315.035,7.1,2.9,15.4,42.0,2.0,45.0,52.0,603.0,54.3,31.9,0.1,0.1,0.0,1001.0,311.0,876.0
316.025,14.0,2.1,32.8,42.0,1.0,45.0,52.0,605.0,54.3,31.9,0.5,0.8,0.1,1001.0,311.0,876.0
317.024,8.5,3.2,17.2,42.0,3.0,45.0,52.0,604.0,54.3,31.9,2.1,4.1,0.0,1001.0,311.0,876.0
318.024,4.5,3.2,12.5,42.0,1.0,45.0,52.0,604.0,54.3,31.9,0.0,0.0,0.1,1003.0,311.0,877.0
319.028,6.9,3.2,14.1,42.0,2.0,45.0,52.0,604.0,54.3,31.9,0.1,0.0,0.0,1003.0,311.0,877.0
320.05,8.8,3.2,17.6,42.0,5.0,45.0,52.0,605.0,54.4,31.9,0.4,0.6,0.2,1003.0,311.0,877.0
321.041,11.8,3.2,21.5,41.8,3.0,45.0,52.0,606.0,54.3,31.9,0.1,0.1,0.7,1003.0,311.0,877.0
322.037,7.9,1.2,20.3,41.8,7.0,45.0,52.0,605.0,54.3,31.9,0.1,0.1,0.1,1001.0,311.0,877.0
323.032,11.8,3.2,20.3,41.8,6.0,45.0,52.0,605.0,54.3,31.9,0.2,0.3,0.0,1001.0,311.0,877.0
324.031,10.0,3.2,18.8,41.8,4.0,45.0,52.0,604.0,54.3,31.9,2.0,3.9,0.1,1001.0,311.0,877.0
325.049,8.5,3.2,23.1,42.0,11.0,45.0,52.0,604.0,54.3,31.9,0.0,0.0,0.0,1001.0,311.0,877.0
326.032,10.0,3.2,23.8,42.0,6.0,45.0,52.0,604.0,54.3,31.9,0.1,0.0,0.0,1001.0,311.0,876.0
327.026,8.5,3.2,18.5,42.0,7.0,45.0,52.0,605.0,54.3,31.9,0.1,0.1,0.1,1001.0,311.0,876.0
328.03,8.1,3.2,22.9,42.0,11.0,45.0,52.0,606.0,54.3,31.9,0.0,0.0,0.0,1001.0,311.0,876.0
329.052,8.1,1.9,15.2,41.8,9.0,45.0,52.0,605.0,54.3,31.9,0.1,0.1,1.0,1001.0,311.0,876.0
330.053,8.7,1.2,31.9,41.8,8.0,45.0,52.0,604.0,54.3,31.9,0.0,0.0,0.0,1000.0,310.0,877.0
331.028,8.4,1.9,18.8,41.8,10.0,45.0,52.0,604.0,54.3,31.9,0.0,0.0,0.0,1000.0,310.0,877.0
332.029,7.3,3.2,15.4,41.8,6.0,45.0,52.0,606.0,54.3,31.9,0.3,0.5,0.2,1000.0,310.0,877.0
333.032,10.0,2.5,27.4,41.8,6.0,45.0,52.0,605.0,54.3,31.9,0.1,0.0,0.0,1000.0,310.0,877.0
334.048,10.4,1.2,24.3,41.8,6.0,45.0,52.0,605.0,54.3,31.9,0.1,0.1,0.0,1001.0,311.0,874.0
335.024,10.2,2.8,26.5,41.8,5.0,45.0,52.0,604.0,54.3,31.9,0.0,0.0,0.0,1001.0,311.0,874.0
336.027,8.8,3.2,16.9,41.8,2.0,45.0,52.0,603.0,54.3,31.9,0.0,0.1,0.0,1001.0,311.0,874.0
337.05,8.0,3.2,20.3,41.5,7.0,45.0,52.0,603.0,54.3,31.9,0.0,0.0,0.1,1001.0,311.0,874.0
338.036,10.2,3.2,18.5,41.5,2.0,45.0,51.0,603.0,54.3,31.9,0.1,0.2,0.3,1002.0,311.0,875.0
339.033,18.8,1.3,41.3,41.5,3.0,45.0,52.0,603.0,54.3,31.9,0.2,0.3,28.2,1002.0,311.0,875.0
340.046,18.0,1.2,44.1,41.5,16.0,45.0,52.0,603.0,54.3,31.9,2.1,4.0,37.5,1002.0,311.0,875.0
341.031,13.1,1.2,48.5,42.3,10.0,45.0,52.0,604.0,54.4,31.9,0.2,0.3,47.2,1002.0,311.0,875.0
342.041,13.7,1.2,29.7,42.3,12.0,45.0,52.0,604.0,54.4,31.9,0.1,0.0,29.8,1000.0,310.0,877.0
343.033,12.5,3.1,39.1,42.3,10.0,45.0,52.0,605.0,54.4,31.9,4.4,8.8,9.8,1000.0,310.0,877.0
344.04,8.6,1.2,18.5,42.3,3.0,45.0,52.0,606.0,54.5,31.9,0.1,0.1,4.7,1000.0,310.0,877.0
345.05,7.0,1.2,25.7,42.0,2.0,45.0,51.0,605.0,54.5,31.9,0.0,0.0,0.3,1000.0,310.0,877.0
346.044,7.8,3.2,22.9,42.0,5.0,45.0,51.0,605.0,54.5,31.9,0.1,0.1,0.0,1003.0,310.0,875.0
347.039,9.2,2.3,27.4,42.0,8.0,45.0,52.0,604.0,54.5,31.9,0.1,0.1,0.0,1003.0,310.0,875.0
348.033,11.8,3.2,22.9,42.0,6.0,45.0,52.0,605.0,54.5,31.9,0.2,0.2,0.0,1003.0,310.0,875.0
349.029,4.5,3.2,10.9,41.8,11.0,45.0,52.0,605.0,54.5,31.9,0.1,0.1,0.0,1003.0,310.0,875.0
350.039,12.4,3.2,40.5,41.8,8.0,45.0,52.0,604.0,54.5,31.9,0.2,0.1,0.1,1001.0,311.0,874.0
351.033,6.2,3.2,17.2,41.8,11.0,45.0,52.0,603.0,54.5,31.9,0.0,0.0,0.0,1001.0,311.0,874.0
352.036,8.4,3.2,24.3,41.8,8.0,45.0,52.0,603.0,54.4,31.9,0.3,0.4,0.1,1001.0,311.0,874.0
353.026,17.9,3.2,36.2,42.5,5.0,45.0,52.0,604.0,54.5,31.9,0.2,0.4,0.0,1001.0,311.0,874.0
354.034,20.2,1.6,37.9,42.5,7.0,45.0,52.0,605.0,54.6,31.9,2.5,4.7,0.1,1002.0,311.0,875.0
355.028,7.5,3.2,16.4,42.5,6.0,45.0,52.0,605.0,54.6,31.9,0.1,0.1,0.1,1002.0,311.0,875.0
356.043,7.6,3.2,18.5,42.5,5.0,45.0,52.0,604.0,54.6,31.9,0.0,0.0,0.2,1002.0,311.0,875.0
357.035,8.8,3.1,18.5,42.3,5.0,45.0,52.0,603.0,54.5,31.9,0.1,0.0,0.0,1002.0,311.0,875.0
358.064,6.4,3.2,16.2,42.3,5.0,45.0,52.0,604.0,54.5,31.9,0.1,0.1,0.4,1000.0,311.0,878.0
359.037,8.5,3.2,22.1,42.3,6.0,45.0,52.0,604.0,54.5,31.9,0.0,0.0,0.5,1000.0,311.0,878.0
360.048,7.1,3.2,16.7,42.3,8.0,45.0,52.0,605.0,54.5,31.9,0.0,0.0,0.1,1000.0,311.0,878.0
361.046,7.5,3.2,15.6,42.0,7.0,44.0,52.0,605.0,54.5,31.9,0.0,0.1,0.0,1000.0,311.0,878.0
362.038,7.9,3.2,25.7,42.0,3.0,45.0,51.0,604.0,54.5,31.9,0.0,0.1,0.1,1001.0,311.0,876.0
363.044,6.0,3.2,23.2,42.0,12.0,45.0,52.0,603.0,54.5,31.9,0.0,0.0,0.2,1001.0,311.0,876.0
364.027,9.6,3.2,22.2,42.0,4.0,45.0,52.0,603.0,54.5,31.9,0.1,0.1,0.0,1001.0,311.0,876.0
365.03,11.8,3.2,29.0,41.5,3.0,45.0,52.0,603.0,54.5,31.9,0.2,0.2,0.1,1001.0,311.0,876.0
366.05,16.6,3.2,35.7,41.5,6.0,45.0,52.0,602.0,54.5,31.9,0.2,0.2,0.3,1001.0,311.0,875.0
367.034,18.1,3.2,35.3,41.5,2.0,45.0,52.0,600.0,54.5,31.9,6.7,13.1,0.9,1001.0,311.0,875.0
368.047,9.8,3.2,30.9,41.5,5.0,45.0,52.0,601.0,54.6,31.9,0.4,0.7,0.1,1001.0,311.0,875.0
369.055,7.6,3.2,17.6,42.3,6.0,45.0,52.0,600.0,54.5,31.9,0.3,0.5,4.2,1001.0,311.0,875.0
370.043,10.2,3.2,26.8,42.3,5.0,45.0,52.0,599.0,54.6,31.9,0.2,0.2,0.0,1001.0,310.0,875.0
371.042,13.8,1.3,26.9,42.3,11.0,45.0,52.0,599.0,54.5,31.9,0.2,0.0,0.0,1001.0,310.0,875.0
372.023,15.3,3.2,28.8,42.3,3.0,45.0,52.0,599.0,54.6,31.9,4.4,8.7,1.1,1001.0,310.0,875.0
373.03,7.3,3.1,17.6,42.0,2.0,45.0,52.0,599.0,54.6,31.9,0.2,0.2,0.1,1001.0,310.0,875.0
374.042,8.2,3.2,20.0,42.0,2.0,45.0,52.0,600.0,54.6,31.9,0.2,0.1,0.7,1000.0,311.0,877.0
375.037,10.0,3.2,29.7,42.0,5.0,45.0,52.0,601.0,54.6,31.9,0.1,0.1,0.4,1000.0,311.0,877.0
376.025,9.9,3.1,25.0,42.0,7.0,45.0,52.0,602.0,54.6,31.9,0.0,0.0,0.0,1000.0,311.0,877.0
377.025,8.9,3.2,23.2,42.0,4.0,45.0,52.0,601.0,54.6,31.9,0.0,0.0,0.0,1000.0,311.0,877.0
378.05,14.5,2.8,28.8,42.0,6.0,45.0,52.0,601.0,54.6,31.9,0.2,0.2,0.3,1002.0,311.0,872.0
379.027,12.3,2.8,28.4,42.0,14.0,45.0,52.0,600.0,54.6,31.9,2.1,4.1,0.1,1002.0,311.0,872.0
380.031,6.6,3.2,24.6,42.0,3.0,45.0,52.0,600.0,54.6,31.9,0.1,0.0,0.0,1002.0,311.0,872.0
381.026,8.5,3.2,30.6,41.8,3.0,45.0,52.0,600.0,54.6,31.9,0.3,0.6,0.0,1002.0,311.0,872.0
382.04,7.6,3.2,24.3,41.8,7.0,45.0,52.0,600.0,54.6,31.9,0.0,0.0,0.0,1001.0,311.0,875.0
383.039,6.3,1.2,15.6,41.8,3.0,45.0,52.0,601.0,54.6,31.9,0.2,0.4,0.0,1001.0,311.0,875.0
384.025,10.0,3.2,23.5,41.8,6.0,45.0,52.0,600.0,54.6,31.9,0.0,0.0,0.2,1001.0,311.0,875.0
385.027,8.2,3.2,27.5,41.5,13.0,45.0,52.0,602.0,54.5,31.9,0.2,0.4,0.0,1001.0,311.0,875.0
386.03,7.7,3.1,20.0,41.5,14.0,45.0,52.0,602.0,54.5,31.9,0.1,0.2,0.0,1000.0,311.0,875.0
387.027,12.6,3.2,34.3,41.5,5.0,45.0,52.0,603.0,54.5,31.9,2.2,4.1,0.1,1000.0,311.0,875.0
388.029,8.9,3.2,26.8,41.5,6.0,45.0,52.0,603.0,54.6,31.9,0.1,0.1,0.2,1000.0,311.0,875.0
389.023,7.8,3.2,18.8,42.0,5.0,45.0,52.0,603.0,54.5,31.9,0.1,0.0,1.1,1000.0,311.0,875.0
390.028,9.1,3.1,20.0,42.0,1.0,45.0,52.0,604.0,54.6,31.9,0.1,0.1,0.0,1003.0,311.0,874.0
391.036,10.3,3.2,24.3,42.0,5.0,45.0,52.0,604.0,54.5,31.9,0.0,0.0,0.3,1003.0,311.0,874.0
392.031,8.3,3.2,22.9,42.0,8.0,45.0,52.0,604.0,54.5,31.9,0.1,0.1,0.1,1003.0,311.0,874.0
393.047,9.4,1.2,23.6,41.8,3.0,45.0,52.0,604.0,54.6,31.9,0.0,0.1,0.1,1003.0,311.0,874.0
394.035,9.5,3.2,30.0,41.8,3.0,45.0,52.0,603.0,54.6,31.9,0.0,0.0,0.0,1000.0,311.0,875.0
395.039,7.4,3.2,17.2,41.8,3.0,45.0,52.0,603.0,54.6,31.9,0.2,0.2,0.0,1000.0,311.0,875.0
396.027,10.0,3.2,22.2,41.8,2.0,45.0,52.0,603.0,54.6,31.9,0.1,0.1,0.0,1000.0,311.0,875.0
397.048,9.0,3.2,20.9,41.5,5.0,45.0,52.0,604.0,54.6,31.9,0.0,0.0,0.1,1000.0,311.0,875.0
398.025,8.6,3.2,18.2,41.5,4.0,45.0,52.0,605.0,54.6,31.9,0.3,0.2,0.0,1003.0,311.0,876.0
