t,cpu.0,cpu.1,cpu.2,cpu.3,gpu.0,gpu.1,gpu.2,gpu.3,ram.0,ram.1,net.0,net.1,disk.0,disk.1,disk.2,disk.3
45.024,11.5,3.2,26.5,42.3,4.0,45.0,52.0,600.0,52.8,31.9,0.2,0.3,0.3,1001.0,311.0,876.0
46.047,10.1,3.2,28.2,42.3,6.0,46.0,52.0,601.0,52.8,31.9,0.1,0.1,0.3,1001.0,311.0,873.0
47.023,6.0,3.2,13.6,42.3,14.0,45.0,52.0,601.0,52.8,31.9,0.0,0.1,0.0,1001.0,311.0,873.0
48.039,8.8,1.2,20.0,42.3,5.0,46.0,52.0,600.0,52.7,31.9,0.0,0.0,0.2,1001.0,311.0,873.0
49.032,8.0,3.2,15.6,42.0,8.0,46.0,52.0,600.0,52.8,31.9,0.0,0.1,0.0,1001.0,311.0,873.0
50.03,9.1,1.2,33.8,42.0,7.0,45.0,52.0,600.0,52.8,31.9,0.1,0.1,0.0,1002.0,311.0,875.0
51.048,12.8,1.3,21.9,42.0,6.0,45.0,52.0,600.0,52.8,31.9,0.1,0.2,0.1,1002.0,311.0,875.0
52.028,10.8,2.9,25.0,42.0,4.0,45.0,52.0,601.0,52.8,31.9,4.2,8.2,0.3,1002.0,311.0,875.0
53.039,8.9,1.2,21.7,42.0,18.0,46.0,52.0,601.0,52.8,31.9,0.1,0.0,0.0,1002.0,311.0,875.0
54.035,7.5,2.5,16.4,42.0,5.0,46.0,52.0,601.0,52.8,31.9,0.3,0.6,0.0,1002.0,311.0,876.0
55.036,15.9,3.2,38.0,42.0,7.0,45.0,52.0,602.0,52.8,31.9,4.1,8.0,0.5,1002.0,311.0,876.0
56.036,7.5,3.2,29.6,42.0,19.0,46.0,52.0,602.0,52.8,31.9,0.1,0.0,0.0,1002.0,311.0,876.0
57.056,6.3,3.2,18.8,42.0,6.0,45.0,52.0,603.0,52.8,31.9,0.1,0.1,0.1,1002.0,311.0,876.0
58.043,5.7,3.2,15.4,42.0,6.0,45.0,52.0,603.0,52.8,31.9,0.0,0.0,0.0,998.0,311.0,875.0
59.042,7.9,3.2,23.5,42.0,8.0,46.0,52.0,603.0,52.6,31.9,0.0,0.0,1.0,998.0,311.0,875.0
60.037,7.3,3.2,26.5,42.0,8.0,45.0,52.0,603.0,52.7,31.9,0.0,0.0,0.0,998.0,311.0,875.0
61.047,7.4,3.2,26.4,41.8,6.0,45.0,52.0,603.0,52.7,31.9,0.0,0.0,0.2,998.0,311.0,875.0
62.033,8.1,3.2,22.2,41.8,4.0,45.0,52.0,603.0,52.6,31.9,0.0,0.0,0.2,1003.0,311.0,874.0
63.04,5.9,3.2,17.9,41.8,3.0,46.0,52.0,604.0,52.7,31.9,0.2,0.1,0.3,1003.0,311.0,874.0
64.046,10.2,2.5,27.1,41.8,8.0,45.0,52.0,604.0,52.6,31.9,0.0,0.0,0.0,1003.0,311.0,874.0
65.037,16.3,1.2,39.1,41.8,8.0,45.0,52.0,604.0,52.7,31.9,0.1,0.1,0.6,1003.0,311.0,874.0
66.055,15.4,3.2,39.4,41.8,15.0,45.0,52.0,604.0,52.6,31.9,0.0,0.0,0.2,1001.0,311.0,873.0
67.031,13.3,3.2,39.7,41.8,14.0,45.0,52.0,605.0,52.7,31.9,0.0,0.0,0.3,1001.0,311.0,873.0
68.035,19.6,3.2,31.2,41.8,6.0,45.0,52.0,604.0,52.7,31.9,0.1,0.2,0.3,1001.0,311.0,873.0
69.036,19.4,1.3,35.9,42.5,8.0,46.0,52.0,604.0,52.8,31.9,0.3,0.5,0.1,1001.0,311.0,873.0
70.043,29.8,2.8,42.2,42.5,11.0,46.0,52.0,603.0,53.5,31.9,0.2,0.5,0.7,1003.0,311.0,876.0
71.042,17.5,3.1,32.8,42.5,9.0,45.0,52.0,603.0,53.7,31.9,4.2,2.2,11.5,1003.0,311.0,876.0
72.053,14.6,3.2,27.7,42.5,6.0,45.0,52.0,604.0,53.7,31.9,1.9,1.0,0.6,1003.0,311.0,876.0
73.045,14.6,1.2,31.8,43.5,4.0,45.0,52.0,604.0,53.7,31.9,0.0,0.0,0.0,1003.0,311.0,876.0
74.039,15.3,3.1,28.1,43.5,3.0,46.0,51.0,603.0,53.7,31.9,0.0,0.0,0.5,1028.0,333.0,895.0
75.055,13.6,3.2,46.9,43.5,7.0,45.0,52.0,604.0,53.7,31.9,0.0,0.0,0.2,1028.0,333.0,895.0
76.043,14.4,3.2,29.9,43.5,6.0,45.0,52.0,604.0,53.6,31.9,0.0,0.0,0.0,1028.0,333.0,895.0
77.039,11.8,3.2,28.1,43.3,4.0,45.0,52.0,603.0,53.6,31.9,0.0,0.0,0.2,1028.0,333.0,895.0
78.053,14.9,1.2,33.3,43.3,5.0,45.0,52.0,604.0,53.6,31.9,0.0,0.0,0.0,1029.0,336.0,900.0
79.045,15.1,2.8,26.2,43.3,6.0,45.0,52.0,603.0,53.6,31.9,0.0,0.0,0.0,1029.0,336.0,900.0
80.039,12.7,1.2,26.2,43.3,3.0,45.0,52.0,603.0,53.6,31.9,0.0,0.0,0.0,1029.0,336.0,900.0
81.035,15.4,1.2,38.1,43.8,6.0,45.0,52.0,603.0,53.6,31.9,0.0,0.0,0.0,1029.0,336.0,900.0
82.034,14.0,1.2,25.8,43.8,11.0,45.0,52.0,603.0,53.6,31.9,0.0,0.0,0.1,1027.0,335.0,900.0
83.039,15.7,1.2,31.2,43.8,4.0,45.0,52.0,604.0,53.6,31.9,0.0,0.0,0.3,1027.0,335.0,900.0
84.056,20.0,1.2,39.4,43.8,10.0,45.0,52.0,603.0,53.6,31.9,0.0,0.0,0.0,1027.0,335.0,900.0
85.028,13.6,3.2,35.9,43.3,6.0,45.0,51.0,604.0,53.4,31.9,0.0,0.0,0.0,1027.0,335.0,900.0
86.038,15.3,1.2,31.8,43.3,6.0,45.0,52.0,604.0,53.4,31.9,0.0,0.0,0.0,1028.0,335.0,900.0
87.028,14.2,3.2,30.2,43.3,2.0,45.0,52.0,604.0,53.4,31.9,0.1,0.1,8.2,1028.0,335.0,900.0
88.043,9.5,3.2,21.5,43.3,4.0,45.0,52.0,604.0,53.4,31.9,4.0,7.9,0.0,1028.0,335.0,900.0
89.048,7.9,3.2,25.4,42.8,3.0,45.0,52.0,604.0,53.4,31.9,0.0,0.0,0.5,1028.0,335.0,900.0
90.028,7.1,3.2,19.0,42.8,6.0,46.0,52.0,604.0,53.4,31.9,0.0,0.0,0.1,1023.0,333.0,897.0
91.035,9.4,3.1,21.2,42.8,12.0,45.0,52.0,603.0,53.4,31.9,0.0,0.0,0.0,1023.0,333.0,897.0
92.047,7.1,2.1,16.9,42.8,5.0,45.0,52.0,602.0,53.4,31.9,0.0,0.0,0.4,1023.0,333.0,897.0
93.03,7.2,1.5,17.2,42.0,5.0,45.0,52.0,603.0,53.5,31.9,0.1,0.1,0.1,1023.0,333.0,897.0
94.052,10.3,2.3,20.0,42.0,14.0,45.0,52.0,603.0,53.4,31.9,0.0,0.0,0.0,1004.0,313.0,882.0
95.038,12.8,3.2,25.4,42.0,12.0,46.0,52.0,603.0,53.4,31.9,0.1,0.2,0.0,1004.0,313.0,882.0
96.058,12.7,2.6,24.6,42.0,3.0,45.0,52.0,604.0,53.4,31.9,0.0,0.0,0.1,1004.0,313.0,882.0
97.049,6.7,3.2,15.6,42.0,12.0,45.0,52.0,603.0,53.5,31.9,0.1,0.0,0.2,1004.0,313.0,882.0
98.042,10.4,3.2,20.6,42.0,13.0,45.0,52.0,604.0,53.4,31.9,0.2,0.1,0.2,1002.0,310.0,876.0
